GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	2007011500	0.0
Oahu_CentralTrackingPV_PV_01	2007011501	0.0
Oahu_CentralTrackingPV_PV_01	2007011502	0.0
Oahu_CentralTrackingPV_PV_01	2007011503	0.0
Oahu_CentralTrackingPV_PV_01	2007011504	0.0
Oahu_CentralTrackingPV_PV_01	2007011505	0.0
Oahu_CentralTrackingPV_PV_01	2007011506	0.0
Oahu_CentralTrackingPV_PV_01	2007011507	0.0295963
Oahu_CentralTrackingPV_PV_01	2007011508	0.495358
Oahu_CentralTrackingPV_PV_01	2007011509	0.82564
Oahu_CentralTrackingPV_PV_01	2007011510	0.860603
Oahu_CentralTrackingPV_PV_01	2007011511	0.838453
Oahu_CentralTrackingPV_PV_01	2007011512	0.784669
Oahu_CentralTrackingPV_PV_01	2007011513	0.693262
Oahu_CentralTrackingPV_PV_01	2007011514	0.545367
Oahu_CentralTrackingPV_PV_01	2007011515	0.544808
Oahu_CentralTrackingPV_PV_01	2007011516	0.699019
Oahu_CentralTrackingPV_PV_01	2007011517	0.159587
Oahu_CentralTrackingPV_PV_01	2007011518	0.0
Oahu_CentralTrackingPV_PV_01	2007011519	0.0
Oahu_CentralTrackingPV_PV_01	2007011520	0.0
Oahu_CentralTrackingPV_PV_01	2007011521	0.0
Oahu_CentralTrackingPV_PV_01	2007011522	0.0
Oahu_CentralTrackingPV_PV_01	2007011523	0.0
Oahu_CentralTrackingPV_PV_01	2007021500	0.0
Oahu_CentralTrackingPV_PV_01	2007021501	0.0
Oahu_CentralTrackingPV_PV_01	2007021502	0.0
Oahu_CentralTrackingPV_PV_01	2007021503	0.0
Oahu_CentralTrackingPV_PV_01	2007021504	0.0
Oahu_CentralTrackingPV_PV_01	2007021505	0.0
Oahu_CentralTrackingPV_PV_01	2007021506	0.0
Oahu_CentralTrackingPV_PV_01	2007021507	0.0824894
Oahu_CentralTrackingPV_PV_01	2007021508	0.577802
Oahu_CentralTrackingPV_PV_01	2007021509	0.880803
Oahu_CentralTrackingPV_PV_01	2007021510	0.665398
Oahu_CentralTrackingPV_PV_01	2007021511	0.622004
Oahu_CentralTrackingPV_PV_01	2007021512	0.45945
Oahu_CentralTrackingPV_PV_01	2007021513	0.55483
Oahu_CentralTrackingPV_PV_01	2007021514	0.235297
Oahu_CentralTrackingPV_PV_01	2007021515	0.514513
Oahu_CentralTrackingPV_PV_01	2007021516	0.448587
Oahu_CentralTrackingPV_PV_01	2007021517	0.367429
Oahu_CentralTrackingPV_PV_01	2007021518	0.0
Oahu_CentralTrackingPV_PV_01	2007021519	0.0
Oahu_CentralTrackingPV_PV_01	2007021520	0.0
Oahu_CentralTrackingPV_PV_01	2007021521	0.0
Oahu_CentralTrackingPV_PV_01	2007021522	0.0
Oahu_CentralTrackingPV_PV_01	2007021523	0.0
Oahu_CentralTrackingPV_PV_01	2007031500	0.0
Oahu_CentralTrackingPV_PV_01	2007031501	0.0
Oahu_CentralTrackingPV_PV_01	2007031502	0.0
Oahu_CentralTrackingPV_PV_01	2007031503	0.0
Oahu_CentralTrackingPV_PV_01	2007031504	0.0
Oahu_CentralTrackingPV_PV_01	2007031505	0.0
Oahu_CentralTrackingPV_PV_01	2007031506	0.0
Oahu_CentralTrackingPV_PV_01	2007031507	0.261094
Oahu_CentralTrackingPV_PV_01	2007031508	0.825489
Oahu_CentralTrackingPV_PV_01	2007031509	0.829877
Oahu_CentralTrackingPV_PV_01	2007031510	0.914309
Oahu_CentralTrackingPV_PV_01	2007031511	0.811646
Oahu_CentralTrackingPV_PV_01	2007031512	0.646271
Oahu_CentralTrackingPV_PV_01	2007031513	0.686787
Oahu_CentralTrackingPV_PV_01	2007031514	0.459886
Oahu_CentralTrackingPV_PV_01	2007031515	0.965304
Oahu_CentralTrackingPV_PV_01	2007031516	0.530864
Oahu_CentralTrackingPV_PV_01	2007031517	0.129202
Oahu_CentralTrackingPV_PV_01	2007031518	0.00599165
Oahu_CentralTrackingPV_PV_01	2007031519	0.0
Oahu_CentralTrackingPV_PV_01	2007031520	0.0
Oahu_CentralTrackingPV_PV_01	2007031521	0.0
Oahu_CentralTrackingPV_PV_01	2007031522	0.0
Oahu_CentralTrackingPV_PV_01	2007031523	0.0
Oahu_CentralTrackingPV_PV_01	2007041500	0.0
Oahu_CentralTrackingPV_PV_01	2007041501	0.0
Oahu_CentralTrackingPV_PV_01	2007041502	0.0
Oahu_CentralTrackingPV_PV_01	2007041503	0.0
Oahu_CentralTrackingPV_PV_01	2007041504	0.0
Oahu_CentralTrackingPV_PV_01	2007041505	0.0
Oahu_CentralTrackingPV_PV_01	2007041506	0.0244369
Oahu_CentralTrackingPV_PV_01	2007041507	0.480696
Oahu_CentralTrackingPV_PV_01	2007041508	0.584631
Oahu_CentralTrackingPV_PV_01	2007041509	0.67651
Oahu_CentralTrackingPV_PV_01	2007041510	0.901496
Oahu_CentralTrackingPV_PV_01	2007041511	0.506517
Oahu_CentralTrackingPV_PV_01	2007041512	0.81447
Oahu_CentralTrackingPV_PV_01	2007041513	0.834167
Oahu_CentralTrackingPV_PV_01	2007041514	0.864146
Oahu_CentralTrackingPV_PV_01	2007041515	0.788998
Oahu_CentralTrackingPV_PV_01	2007041516	0.91599
Oahu_CentralTrackingPV_PV_01	2007041517	0.552235
Oahu_CentralTrackingPV_PV_01	2007041518	0.0520284
Oahu_CentralTrackingPV_PV_01	2007041519	0.0
Oahu_CentralTrackingPV_PV_01	2007041520	0.0
Oahu_CentralTrackingPV_PV_01	2007041521	0.0
Oahu_CentralTrackingPV_PV_01	2007041522	0.0
Oahu_CentralTrackingPV_PV_01	2007041523	0.0
Oahu_CentralTrackingPV_PV_01	2007051500	0.0
Oahu_CentralTrackingPV_PV_01	2007051501	0.0
Oahu_CentralTrackingPV_PV_01	2007051502	0.0
Oahu_CentralTrackingPV_PV_01	2007051503	0.0
Oahu_CentralTrackingPV_PV_01	2007051504	0.0
Oahu_CentralTrackingPV_PV_01	2007051505	0.0
Oahu_CentralTrackingPV_PV_01	2007051506	0.125615
Oahu_CentralTrackingPV_PV_01	2007051507	0.493341
Oahu_CentralTrackingPV_PV_01	2007051508	0.925348
Oahu_CentralTrackingPV_PV_01	2007051509	0.746458
Oahu_CentralTrackingPV_PV_01	2007051510	0.784952
Oahu_CentralTrackingPV_PV_01	2007051511	0.769799
Oahu_CentralTrackingPV_PV_01	2007051512	0.728813
Oahu_CentralTrackingPV_PV_01	2007051513	0.444224
Oahu_CentralTrackingPV_PV_01	2007051514	0.501706
Oahu_CentralTrackingPV_PV_01	2007051515	0.687292
Oahu_CentralTrackingPV_PV_01	2007051516	0.255167
Oahu_CentralTrackingPV_PV_01	2007051517	0.0601308
Oahu_CentralTrackingPV_PV_01	2007051518	0.0388711
Oahu_CentralTrackingPV_PV_01	2007051519	0.0
Oahu_CentralTrackingPV_PV_01	2007051520	0.0
Oahu_CentralTrackingPV_PV_01	2007051521	0.0
Oahu_CentralTrackingPV_PV_01	2007051522	0.0
Oahu_CentralTrackingPV_PV_01	2007051523	0.0
Oahu_CentralTrackingPV_PV_01	2007061500	0.0
Oahu_CentralTrackingPV_PV_01	2007061501	0.0
Oahu_CentralTrackingPV_PV_01	2007061502	0.0
Oahu_CentralTrackingPV_PV_01	2007061503	0.0
Oahu_CentralTrackingPV_PV_01	2007061504	0.0
Oahu_CentralTrackingPV_PV_01	2007061505	0.0
Oahu_CentralTrackingPV_PV_01	2007061506	0.103025
Oahu_CentralTrackingPV_PV_01	2007061507	0.664669
Oahu_CentralTrackingPV_PV_01	2007061508	0.718841
Oahu_CentralTrackingPV_PV_01	2007061509	0.892803
Oahu_CentralTrackingPV_PV_01	2007061510	0.90601
Oahu_CentralTrackingPV_PV_01	2007061511	0.718545
Oahu_CentralTrackingPV_PV_01	2007061512	0.891994
Oahu_CentralTrackingPV_PV_01	2007061513	0.846314
Oahu_CentralTrackingPV_PV_01	2007061514	0.698829
Oahu_CentralTrackingPV_PV_01	2007061515	0.547877
Oahu_CentralTrackingPV_PV_01	2007061516	0.624704
Oahu_CentralTrackingPV_PV_01	2007061517	0.687321
Oahu_CentralTrackingPV_PV_01	2007061518	0.196394
Oahu_CentralTrackingPV_PV_01	2007061519	0.0
Oahu_CentralTrackingPV_PV_01	2007061520	0.0
Oahu_CentralTrackingPV_PV_01	2007061521	0.0
Oahu_CentralTrackingPV_PV_01	2007061522	0.0
Oahu_CentralTrackingPV_PV_01	2007061523	0.0
