PROJECT	proj_load_zone	proj_gen_tech	proj_connect_cost_per_mw	proj_capacity_limit_mw
Oahu_AES	Oahu	AES	0.0	185.0
Oahu_Airport_DSG	Oahu	Airport_DSG	0.0	8.0
Oahu_CC_152	Oahu	CC_152	154728.859257	1505.86
Oahu_CIP_CT	Oahu	CIP_CT	0.0	113.0
Oahu_CentralTrackingPV_PV_01	Oahu	CentralTrackingPV	445105.180308	272.066070557
Oahu_CentralTrackingPV_PV_02	Oahu	CentralTrackingPV	440661.3106	235.386581421
Oahu_CentralTrackingPV_PV_03	Oahu	CentralTrackingPV	436439.664745	74.0786514282
Oahu_CentralTrackingPV_PV_04	Oahu	CentralTrackingPV	429075.077032	246.034667969
Oahu_CentralTrackingPV_PV_05	Oahu	CentralTrackingPV	424813.668151	34.1890525818
Oahu_CentralTrackingPV_PV_06	Oahu	CentralTrackingPV	416193.384538	5.40065670013
Oahu_CentralTrackingPV_PV_07	Oahu	CentralTrackingPV	425997.109593	382.345397949
Oahu_CentralTrackingPV_PV_08	Oahu	CentralTrackingPV	432119.431236	728.008300781
Oahu_CentralTrackingPV_PV_09	Oahu	CentralTrackingPV	448641.546172	338.270233154
Oahu_CentralTrackingPV_PV_10	Oahu	CentralTrackingPV	438034.535995	1248.96032715
Oahu_CentralTrackingPV_PV_11	Oahu	CentralTrackingPV	445272.692534	346.391876221
Oahu_CentralTrackingPV_PV_12	Oahu	CentralTrackingPV	449881.864325	246.924240112
Oahu_CentralTrackingPV_PV_13	Oahu	CentralTrackingPV	448572.777192	489.409210205
Oahu_CentralTrackingPV_PV_14	Oahu	CentralTrackingPV	438991.037617	103.340690613
Oahu_CentralTrackingPV_PV_15	Oahu	CentralTrackingPV	428848.297999	252.478622437
Oahu_CentralTrackingPV_PV_16	Oahu	CentralTrackingPV	434037.348584	254.376785278
Oahu_CentralTrackingPV_PV_17	Oahu	CentralTrackingPV	438922.330053	8.01186752319
Oahu_CentralTrackingPV_PV_18	Oahu	CentralTrackingPV	429886.501573	0.493028700352
Oahu_DistPV_Oahu_DistPV_0	Oahu	DistPV	0.0	180.707901001
Oahu_DistPV_Oahu_DistPV_1	Oahu	DistPV	0.0	204.503570557
Oahu_DistPV_Oahu_DistPV_10	Oahu	DistPV	0.0	262.002838135
Oahu_DistPV_Oahu_DistPV_11	Oahu	DistPV	0.0	239.568954468
Oahu_DistPV_Oahu_DistPV_12	Oahu	DistPV	0.0	225.641403198
Oahu_DistPV_Oahu_DistPV_13	Oahu	DistPV	0.0	268.203369141
Oahu_DistPV_Oahu_DistPV_14	Oahu	DistPV	0.0	168.312789917
Oahu_DistPV_Oahu_DistPV_15	Oahu	DistPV	0.0	152.342926025
Oahu_DistPV_Oahu_DistPV_16	Oahu	DistPV	0.0	116.671684265
Oahu_DistPV_Oahu_DistPV_17	Oahu	DistPV	0.0	272.812866211
Oahu_DistPV_Oahu_DistPV_18	Oahu	DistPV	0.0	224.121688843
Oahu_DistPV_Oahu_DistPV_19	Oahu	DistPV	0.0	70.9346008301
Oahu_DistPV_Oahu_DistPV_2	Oahu	DistPV	0.0	42.6778450012
Oahu_DistPV_Oahu_DistPV_3	Oahu	DistPV	0.0	32.6110649109
Oahu_DistPV_Oahu_DistPV_4	Oahu	DistPV	0.0	92.0030822754
Oahu_DistPV_Oahu_DistPV_5	Oahu	DistPV	0.0	141.778808594
Oahu_DistPV_Oahu_DistPV_6	Oahu	DistPV	0.0	137.779937744
Oahu_DistPV_Oahu_DistPV_7	Oahu	DistPV	0.0	418.800872803
Oahu_DistPV_Oahu_DistPV_8	Oahu	DistPV	0.0	180.913513184
Oahu_DistPV_Oahu_DistPV_9	Oahu	DistPV	0.0	199.821792603
Oahu_H-Power	Oahu	H-Power	0.0	73.0
Oahu_IC_Barge	Oahu	IC_Barge	160844.569816	1007.18352
Oahu_IC_MCBH	Oahu	IC_MCBH	498334.399114	274.9158
Oahu_IC_Schofield	Oahu	IC_Schofield	274629.541118	54.98316
Oahu_Kalaeloa_CC1	Oahu	Kalaeloa_CC1	0.0	90.0
Oahu_Kalaeloa_CC2	Oahu	Kalaeloa_CC2	0.0	90.0
Oahu_Kalaeloa_CC3	Oahu	Kalaeloa_CC3	0.0	28.0
Oahu_OffshoreWind_OffWind	Oahu	OffshoreWind	512500.0	800.0
Oahu_OnshoreWind_OnWind_101	Oahu	OnshoreWind	491944.685618	20.0
Oahu_OnshoreWind_OnWind_102	Oahu	OnshoreWind	471955.060641	305.0
