LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2007011500	670.044613859
Oahu	2007011501	646.312513197
Oahu	2007011502	633.999826996
Oahu	2007011503	633.265775219
Oahu	2007011504	660.252607447
Oahu	2007011505	710.535259894
Oahu	2007011506	764.273539174
Oahu	2007011507	805.6298143
Oahu	2007011508	867.311085824
Oahu	2007011509	910.467894817
Oahu	2007011510	927.205729337
Oahu	2007011511	932.738823719
Oahu	2007011512	932.911949537
Oahu	2007011513	928.950766574
Oahu	2007011514	922.067324626
Oahu	2007011515	926.720926326
Oahu	2007011516	929.95494704
Oahu	2007011517	947.579121502
Oahu	2007011518	987.813544708
Oahu	2007011519	949.954444921
Oahu	2007011520	905.55802802
Oahu	2007011521	845.864279773
Oahu	2007011522	772.486617838
Oahu	2007011523	705.604639978
Oahu	2007021500	663.81208441
Oahu	2007021501	640.398550469
Oahu	2007021502	632.310117322
Oahu	2007021503	638.452617964
Oahu	2007021504	677.482092239
Oahu	2007021505	765.20146989
Oahu	2007021506	848.198012419
Oahu	2007021507	861.3901913
Oahu	2007021508	896.479320266
Oahu	2007021509	924.629552919
Oahu	2007021510	936.810746341
Oahu	2007021511	947.122130207
Oahu	2007021512	947.655286718
Oahu	2007021513	944.76067038
Oahu	2007021514	939.39377002
Oahu	2007021515	934.857839774
Oahu	2007021516	919.214214526
Oahu	2007021517	924.553387703
Oahu	2007021518	973.194810777
Oahu	2007021519	953.479262907
Oahu	2007021520	909.172917079
Oahu	2007021521	850.84337999
Oahu	2007021522	775.235835541
Oahu	2007021523	706.047852216
Oahu	2007031500	668.403384486
Oahu	2007031501	647.337446781
Oahu	2007031502	640.024571651
Oahu	2007031503	644.913685329
Oahu	2007031504	685.812926892
Oahu	2007031505	774.674909581
Oahu	2007031506	855.95405752
Oahu	2007031507	877.255422668
Oahu	2007031508	918.320858254
Oahu	2007031509	946.235705731
Oahu	2007031510	961.443050537
Oahu	2007031511	963.596725569
Oahu	2007031512	972.931656152
Oahu	2007031513	969.358400132
Oahu	2007031514	958.153659994
Oahu	2007031515	960.709041026
Oahu	2007031516	951.741072931
Oahu	2007031517	953.977844975
Oahu	2007031518	987.024165368
Oahu	2007031519	968.416605826
Oahu	2007031520	927.655788837
Oahu	2007031521	863.578483042
Oahu	2007031522	778.899204901
Oahu	2007031523	705.576955063
Oahu	2007041500	692.073141256
Oahu	2007041501	665.259392579
Oahu	2007041502	647.559010633
Oahu	2007041503	641.658911496
Oahu	2007041504	654.934187389
Oahu	2007041505	678.375406244
Oahu	2007041506	710.50757498
Oahu	2007041507	773.767731985
Oahu	2007041508	830.442218376
Oahu	2007041509	864.042490667
Oahu	2007041510	875.351038669
Oahu	2007041511	881.770557528
Oahu	2007041512	883.017054964
Oahu	2007041513	881.07112246
Oahu	2007041514	881.244248278
Oahu	2007041515	889.03491009
Oahu	2007041516	899.983385132
Oahu	2007041517	909.429139909
Oahu	2007041518	940.751049383
Oahu	2007041519	948.181595968
Oahu	2007041520	908.674292744
Oahu	2007041521	851.217316541
Oahu	2007041522	777.624980283
Oahu	2007041523	708.464681873
Oahu	2007051500	676.706491956
Oahu	2007051501	654.934187389
Oahu	2007051502	647.060428565
Oahu	2007051503	651.00770567
Oahu	2007051504	688.963808327
Oahu	2007051505	770.0905413
Oahu	2007051506	851.792106092
Oahu	2007051507	897.705064583
Oahu	2007051508	940.993408621
Oahu	2007051509	963.984567978
Oahu	2007051510	977.010510569
Oahu	2007051511	986.9756428
Oahu	2007051512	989.489433059
Oahu	2007051513	986.608595777
Oahu	2007051514	984.357960143
Oahu	2007051515	980.216804101
Oahu	2007051516	969.240644144
Oahu	2007051517	957.84899913
Oahu	2007051518	961.22841848
Oahu	2007051519	975.140785548
Oahu	2007051520	931.2152658
Oahu	2007051521	868.065932988
Oahu	2007051522	784.224556755
Oahu	2007051523	712.00336345
Oahu	2007061500	701.394250515
Oahu	2007061501	675.716217349
Oahu	2007061502	665.224775869
Oahu	2007061503	670.536306399
Oahu	2007061504	705.708532376
Oahu	2007061505	773.366110519
Oahu	2007061506	852.415333677
Oahu	2007061507	901.271431074
Oahu	2007061508	949.580466103
Oahu	2007061509	975.223882559
Oahu	2007061510	994.323092373
Oahu	2007061511	996.421397576
Oahu	2007061512	1008.01389559
Oahu	2007061513	1007.21056812
Oahu	2007061514	1007.16906189
Oahu	2007061515	1004.21899118
Oahu	2007061516	984.835831358
Oahu	2007061517	967.093900907
Oahu	2007061518	947.55841065
Oahu	2007061519	962.48873724
Oahu	2007061520	931.249924777
Oahu	2007061521	886.174868195
Oahu	2007061522	825.677792482
Oahu	2007061523	765.603133622
Oahu	2007071500	720.950536159
Oahu	2007071501	692.363980796
Oahu	2007071502	678.624739545
Oahu	2007071503	672.260632784
Oahu	2007071504	681.533219475
Oahu	2007071505	699.226711892
Oahu	2007071506	734.274292352
Oahu	2007071507	794.411252837
Oahu	2007071508	849.652252383
Oahu	2007071509	883.92423256
Oahu	2007071510	897.670447873
Oahu	2007071511	905.703468923
Oahu	2007071512	904.463903282
Oahu	2007071513	904.173021475
Oahu	2007071514	905.876594741
