LOAD_ZONE	VEHICLE_TYPE	BID_NUM	TIMEPOINT	ev_bid_by_type
Oahu	All_Diesel_Vehicles	0	2007011500	67.8593179002
Oahu	All_Diesel_Vehicles	0	2007011501	53.4445088922
Oahu	All_Diesel_Vehicles	0	2007011502	43.2151088922
Oahu	All_Diesel_Vehicles	0	2007011503	17.6630368728
Oahu	All_Diesel_Vehicles	0	2007011504	3.24822786477
Oahu	All_Diesel_Vehicles	0	2007011505	0.0
Oahu	All_Diesel_Vehicles	0	2007011506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011507	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011509	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011511	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011513	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011515	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007011516	17.5263878211
Oahu	All_Diesel_Vehicles	0	2007011517	24.2997878211
Oahu	All_Diesel_Vehicles	0	2007011518	34.5291878211
Oahu	All_Diesel_Vehicles	0	2007011519	51.5319878211
Oahu	All_Diesel_Vehicles	0	2007011520	61.7613878211
Oahu	All_Diesel_Vehicles	0	2007011521	71.9907878211
Oahu	All_Diesel_Vehicles	0	2007011522	86.7898720194
Oahu	All_Diesel_Vehicles	0	2007011523	80.0164720194
Oahu	All_Diesel_Vehicles	0	2007021500	67.8593179002
Oahu	All_Diesel_Vehicles	0	2007021501	53.4445088922
Oahu	All_Diesel_Vehicles	0	2007021502	43.2151088922
Oahu	All_Diesel_Vehicles	0	2007021503	17.6630368728
Oahu	All_Diesel_Vehicles	0	2007021504	3.24822786477
Oahu	All_Diesel_Vehicles	0	2007021505	0.0
Oahu	All_Diesel_Vehicles	0	2007021506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021507	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021509	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021511	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021513	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021515	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007021516	17.5263878211
Oahu	All_Diesel_Vehicles	0	2007021517	24.2997878211
Oahu	All_Diesel_Vehicles	0	2007021518	34.5291878211
Oahu	All_Diesel_Vehicles	0	2007021519	51.5319878211
Oahu	All_Diesel_Vehicles	0	2007021520	61.7613878211
Oahu	All_Diesel_Vehicles	0	2007021521	71.9907878211
Oahu	All_Diesel_Vehicles	0	2007021522	86.7898720194
Oahu	All_Diesel_Vehicles	0	2007021523	80.0164720194
Oahu	All_Diesel_Vehicles	0	2007031500	67.8593179002
Oahu	All_Diesel_Vehicles	0	2007031501	53.4445088922
Oahu	All_Diesel_Vehicles	0	2007031502	43.2151088922
Oahu	All_Diesel_Vehicles	0	2007031503	17.6630368728
Oahu	All_Diesel_Vehicles	0	2007031504	3.24822786477
Oahu	All_Diesel_Vehicles	0	2007031505	0.0
Oahu	All_Diesel_Vehicles	0	2007031506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031507	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031509	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031511	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031513	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031515	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007031516	17.5263878211
Oahu	All_Diesel_Vehicles	0	2007031517	24.2997878211
Oahu	All_Diesel_Vehicles	0	2007031518	34.5291878211
Oahu	All_Diesel_Vehicles	0	2007031519	51.5319878211
Oahu	All_Diesel_Vehicles	0	2007031520	61.7613878211
Oahu	All_Diesel_Vehicles	0	2007031521	71.9907878211
Oahu	All_Diesel_Vehicles	0	2007031522	86.7898720194
Oahu	All_Diesel_Vehicles	0	2007031523	80.0164720194
Oahu	All_Diesel_Vehicles	0	2007041500	67.8593179002
Oahu	All_Diesel_Vehicles	0	2007041501	53.4445088922
Oahu	All_Diesel_Vehicles	0	2007041502	43.2151088922
Oahu	All_Diesel_Vehicles	0	2007041503	17.6630368728
Oahu	All_Diesel_Vehicles	0	2007041504	3.24822786477
Oahu	All_Diesel_Vehicles	0	2007041505	0.0
Oahu	All_Diesel_Vehicles	0	2007041506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041507	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041509	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041511	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041513	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041515	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007041516	17.5263878211
Oahu	All_Diesel_Vehicles	0	2007041517	24.2997878211
Oahu	All_Diesel_Vehicles	0	2007041518	34.5291878211
Oahu	All_Diesel_Vehicles	0	2007041519	51.5319878211
Oahu	All_Diesel_Vehicles	0	2007041520	61.7613878211
Oahu	All_Diesel_Vehicles	0	2007041521	71.9907878211
Oahu	All_Diesel_Vehicles	0	2007041522	86.7898720194
Oahu	All_Diesel_Vehicles	0	2007041523	80.0164720194
Oahu	All_Diesel_Vehicles	0	2007051500	67.8593179002
Oahu	All_Diesel_Vehicles	0	2007051501	53.4445088922
Oahu	All_Diesel_Vehicles	0	2007051502	43.2151088922
Oahu	All_Diesel_Vehicles	0	2007051503	17.6630368728
Oahu	All_Diesel_Vehicles	0	2007051504	3.24822786477
Oahu	All_Diesel_Vehicles	0	2007051505	0.0
Oahu	All_Diesel_Vehicles	0	2007051506	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051507	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051508	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051509	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051510	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051511	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051512	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051513	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051514	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051515	3.97958782107
Oahu	All_Diesel_Vehicles	0	2007051516	17.5263878211
Oahu	All_Diesel_Vehicles	0	2007051517	24.2997878211
Oahu	All_Diesel_Vehicles	0	2007051518	34.5291878211
Oahu	All_Diesel_Vehicles	0	2007051519	51.5319878211
Oahu	All_Diesel_Vehicles	0	2007051520	61.7613878211
