LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2007011500	65.9202199579
Oahu	2007011501	42.7365551598
Oahu	2007011502	27.1569613925
Oahu	2007011503	17.151991414
Oahu	2007011504	12.4520663198
Oahu	2007011505	18.3657878899
Oahu	2007011506	45.6043927183
Oahu	2007011507	108.431273297
Oahu	2007011508	170.47699463
Oahu	2007011509	158.87242789
Oahu	2007011510	119.636983716
Oahu	2007011511	93.3022472013
Oahu	2007011512	94.7693764791
Oahu	2007011513	110.691615321
Oahu	2007011514	117.5068986
Oahu	2007011515	127.285458328
Oahu	2007011516	149.620227292
Oahu	2007011517	184.956906435
Oahu	2007011518	209.182140584
Oahu	2007011519	201.935641299
Oahu	2007011520	187.097470182
Oahu	2007011521	166.369747872
Oahu	2007011522	134.028499362
Oahu	2007011523	96.7220892625
Oahu	2007021500	65.9202199579
Oahu	2007021501	42.7365551598
Oahu	2007021502	27.1569613925
Oahu	2007021503	17.151991414
Oahu	2007021504	12.4520663198
Oahu	2007021505	18.3657878899
Oahu	2007021506	45.6043927183
Oahu	2007021507	108.431273297
Oahu	2007021508	170.47699463
Oahu	2007021509	158.87242789
Oahu	2007021510	119.636983716
Oahu	2007021511	93.3022472013
Oahu	2007021512	94.7693764791
Oahu	2007021513	110.691615321
Oahu	2007021514	117.5068986
Oahu	2007021515	127.285458328
Oahu	2007021516	149.620227292
Oahu	2007021517	184.956906435
Oahu	2007021518	209.182140584
Oahu	2007021519	201.935641299
Oahu	2007021520	187.097470182
Oahu	2007021521	166.369747872
Oahu	2007021522	134.028499362
Oahu	2007021523	96.7220892625
Oahu	2007031500	65.9202199579
Oahu	2007031501	42.7365551598
Oahu	2007031502	27.1569613925
Oahu	2007031503	17.151991414
Oahu	2007031504	12.4520663198
Oahu	2007031505	18.3657878899
Oahu	2007031506	45.6043927183
Oahu	2007031507	108.431273297
Oahu	2007031508	170.47699463
Oahu	2007031509	158.87242789
Oahu	2007031510	119.636983716
Oahu	2007031511	93.3022472013
Oahu	2007031512	94.7693764791
Oahu	2007031513	110.691615321
Oahu	2007031514	117.5068986
Oahu	2007031515	127.285458328
Oahu	2007031516	149.620227292
