PROJECT	build_year	proj_overnight_cost	proj_fixed_om
Oahu_Airport_DSG	2013	0.0	0.0
Oahu_CentralTrackingPV_PV_01	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_7	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_9	2016	0.0	0.0
Oahu_CIP_CT	2009	0.0	0.0
Oahu_Kalaeloa_CC1	1989	0.0	0.0
Oahu_DistPV_Oahu_DistPV_10	2016	0.0	0.0
Oahu_H-Power	1989	0.0	0.0
Oahu_Kalaeloa_CC3	1991	0.0	0.0
Oahu_DistPV_Oahu_DistPV_2	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_8	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_6	2016	0.0	0.0
Oahu_DistPV_Oahu_DistPV_1	2016	0.0	0.0
Oahu_AES	1992	0.0	0.0
Oahu_OnshoreWind_OnWind_Kawailoa	2012	0.0	0.0
Oahu_DistPV_Oahu_DistPV_5	2016	0.0	0.0
Oahu_OnshoreWind_OnWind_Kahuku	2011	0.0	0.0
Oahu_DistPV_Oahu_DistPV_11	2016	0.0	0.0
Oahu_Kalaeloa_CC2	1991	0.0	0.0
Oahu_CentralTrackingPV_PV_04	2012	0.0	0.0
Oahu_DistPV_Oahu_DistPV_3	2016	0.0	0.0
