GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	2025081014	0.909704
Oahu_CentralTrackingPV_PV_01	2025081016	1.0
Oahu_CentralTrackingPV_PV_01	2025081018	0.151724
Oahu_CentralTrackingPV_PV_01	2025081020	0.0
Oahu_CentralTrackingPV_PV_01	2025081022	0.0
Oahu_CentralTrackingPV_PV_01	2025101000	0.0
Oahu_CentralTrackingPV_PV_01	2025101002	0.0
Oahu_CentralTrackingPV_PV_01	2025101004	0.0
Oahu_CentralTrackingPV_PV_01	2025101006	0.0
Oahu_CentralTrackingPV_PV_01	2025101008	0.472993
Oahu_CentralTrackingPV_PV_01	2025101010	0.798519
Oahu_CentralTrackingPV_PV_01	2025101012	0.718571
Oahu_CentralTrackingPV_PV_01	2025101014	0.697015
Oahu_CentralTrackingPV_PV_01	2025101016	0.461756
Oahu_CentralTrackingPV_PV_01	2025101018	0.0
Oahu_CentralTrackingPV_PV_01	2025101020	0.0
Oahu_CentralTrackingPV_PV_01	2025101022	0.0
Oahu_CentralTrackingPV_PV_01	2025121000	0.0
Oahu_CentralTrackingPV_PV_01	2025121002	0.0
Oahu_CentralTrackingPV_PV_01	2025121004	0.0
Oahu_CentralTrackingPV_PV_01	2025121006	0.0
Oahu_CentralTrackingPV_PV_01	2025121008	0.594252
Oahu_CentralTrackingPV_PV_01	2025121010	0.531491
Oahu_CentralTrackingPV_PV_01	2025121012	0.514394
Oahu_CentralTrackingPV_PV_01	2025121014	0.38063
Oahu_CentralTrackingPV_PV_01	2025121016	0.314641
Oahu_CentralTrackingPV_PV_01	2025121018	0.0
Oahu_CentralTrackingPV_PV_01	2025121020	0.0
Oahu_CentralTrackingPV_PV_01	2025121022	0.0
Oahu_CentralTrackingPV_PV_01	2030021400	0.0
Oahu_CentralTrackingPV_PV_01	2030021402	0.0
Oahu_CentralTrackingPV_PV_01	2030021404	0.0
Oahu_CentralTrackingPV_PV_01	2030021406	0.0
Oahu_CentralTrackingPV_PV_01	2030021408	0.665414
Oahu_CentralTrackingPV_PV_01	2030021410	1.0
Oahu_CentralTrackingPV_PV_01	2030021412	0.945705
Oahu_CentralTrackingPV_PV_01	2030021414	0.783204
Oahu_CentralTrackingPV_PV_01	2030021416	0.846645
Oahu_CentralTrackingPV_PV_01	2030021418	0.0
Oahu_CentralTrackingPV_PV_01	2030021420	0.0
Oahu_CentralTrackingPV_PV_01	2030021422	0.0
Oahu_CentralTrackingPV_PV_01	2030041400	0.0
Oahu_CentralTrackingPV_PV_01	2030041402	0.0
Oahu_CentralTrackingPV_PV_01	2030041404	0.0
Oahu_CentralTrackingPV_PV_01	2030041406	0.0244488
Oahu_CentralTrackingPV_PV_01	2030041408	0.642333
Oahu_CentralTrackingPV_PV_01	2030041410	0.775312
Oahu_CentralTrackingPV_PV_01	2030041412	0.993932
Oahu_CentralTrackingPV_PV_01	2030041414	0.72992
Oahu_CentralTrackingPV_PV_01	2030041416	0.475766
Oahu_CentralTrackingPV_PV_01	2030041418	0.0545344
Oahu_CentralTrackingPV_PV_01	2030041420	0.0
Oahu_CentralTrackingPV_PV_01	2030041422	0.0
Oahu_CentralTrackingPV_PV_01	2030061400	0.0
Oahu_CentralTrackingPV_PV_01	2030061402	0.0
Oahu_CentralTrackingPV_PV_01	2030061404	0.0
Oahu_CentralTrackingPV_PV_01	2030061406	0.165175
Oahu_CentralTrackingPV_PV_01	2030061408	0.767179
Oahu_CentralTrackingPV_PV_01	2030061410	0.658527
