BATTERY_CAPITAL_COST_YEARS	battery_capital_cost_per_mwh_capacity_by_year
2016	660000.0
2017	604125.736739
2018	545196.289963
2019	496692.901126
2020	453458.81546
2021	421659.6417
2022	395335.676581
2023	372458.598672
2024	352000.928921
2025	334705.268386
2026	319584.408193
2027	305715.446178
2028	293044.307208
2029	281518.693974
2030	271867.025089
2031	262468.657589
2032	254069.335818
2033	245884.983979
2034	238635.963259
2035	232278.930684
2036	226072.09677
2037	220012.137459
2038	214095.799283
2039	208983.337075
2040	203984.733541
2041	199737.745704
2042	194948.306031
2043	190883.536864
2044	186294.739407
2045	182404.632762
