TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20200102	2020	1.0	24	60.875
20200202	2020	1.0	24	60.875
20200302	2020	1.0	24	60.875
20200402	2020	1.0	24	60.875
20200502	2020	1.0	24	60.875
20200602	2020	1.0	24	60.875
20200702	2020	1.0	24	60.875
20200802	2020	1.0	24	60.875
20200902	2020	1.0	24	60.875
20201002	2020	1.0	24	60.875
20201102	2020	1.0	24	60.875
20201202	2020	1.0	24	60.875
20220106	2022	1.0	24	91.3125
20220206	2022	1.0	24	91.3125
20220306	2022	1.0	24	91.3125
20220406	2022	1.0	24	91.3125
20220506	2022	1.0	24	91.3125
20220606	2022	1.0	24	91.3125
20220706	2022	1.0	24	91.3125
20220806	2022	1.0	24	91.3125
20220906	2022	1.0	24	91.3125
20221006	2022	1.0	24	91.3125
20221106	2022	1.0	24	91.3125
20221206	2022	1.0	24	91.3125
20250110	2025	1.0	24	152.1875
20250210	2025	1.0	24	152.1875
20250310	2025	1.0	24	152.1875
20250410	2025	1.0	24	152.1875
20250510	2025	1.0	24	152.1875
20250610	2025	1.0	24	152.1875
20250710	2025	1.0	24	152.1875
20250810	2025	1.0	24	152.1875
20250910	2025	1.0	24	152.1875
20251010	2025	1.0	24	152.1875
20251110	2025	1.0	24	152.1875
20251210	2025	1.0	24	152.1875
20300114	2030	1.0	24	152.1875
20300214	2030	1.0	24	152.1875
20300314	2030	1.0	24	152.1875
20300414	2030	1.0	24	152.1875
20300514	2030	1.0	24	152.1875
20300614	2030	1.0	24	152.1875
20300714	2030	1.0	24	152.1875
20300814	2030	1.0	24	152.1875
20300914	2030	1.0	24	152.1875
20301014	2030	1.0	24	152.1875
20301114	2030	1.0	24	152.1875
20301214	2030	1.0	24	152.1875
20350118	2035	1.0	24	152.1875
20350218	2035	1.0	24	152.1875
20350318	2035	1.0	24	152.1875
20350418	2035	1.0	24	152.1875
20350518	2035	1.0	24	152.1875
20350618	2035	1.0	24	152.1875
20350718	2035	1.0	24	152.1875
20350818	2035	1.0	24	152.1875
20350918	2035	1.0	24	152.1875
20351018	2035	1.0	24	152.1875
20351118	2035	1.0	24	152.1875
20351218	2035	1.0	24	152.1875
20400122	2040	1.0	24	152.1875
20400222	2040	1.0	24	152.1875
20400322	2040	1.0	24	152.1875
20400422	2040	1.0	24	152.1875
20400522	2040	1.0	24	152.1875
20400622	2040	1.0	24	152.1875
20400722	2040	1.0	24	152.1875
20400822	2040	1.0	24	152.1875
20400922	2040	1.0	24	152.1875
20401022	2040	1.0	24	152.1875
20401122	2040	1.0	24	152.1875
20401222	2040	1.0	24	152.1875
20450126	2045	1.0	24	152.1875
20450226	2045	1.0	24	152.1875
20450326	2045	1.0	24	152.1875
20450426	2045	1.0	24	152.1875
20450526	2045	1.0	24	152.1875
20450626	2045	1.0	24	152.1875
20450726	2045	1.0	24	152.1875
20450826	2045	1.0	24	152.1875
20450926	2045	1.0	24	152.1875
20451026	2045	1.0	24	152.1875
20451126	2045	1.0	24	152.1875
20451226	2045	1.0	24	152.1875
