LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2022120600	545.676040313
Oahu	2022120602	495.320334133
Oahu	2022120604	569.305269132
Oahu	2022120606	825.428672065
Oahu	2022120608	913.78375546
Oahu	2022120610	976.036073042
Oahu	2022120612	994.992041053
Oahu	2022120614	985.656341036
Oahu	2022120616	972.183717365
Oahu	2022120618	1055.86540635
Oahu	2022120620	925.768008455
Oahu	2022120622	731.163659566
Oahu	2022100600	626.621668328
Oahu	2022100602	560.429286676
Oahu	2022100604	578.356334374
Oahu	2022100606	714.53894456
Oahu	2022100608	899.501181857
Oahu	2022100610	972.457330142
Oahu	2022100612	980.227906291
Oahu	2022100614	943.454375773
Oahu	2022100616	936.81098273
Oahu	2022100618	991.610224537
Oahu	2022100620	901.164702117
Oahu	2022100622	773.47511002
Oahu	2022080600	607.851805102
Oahu	2022080602	556.598707797
Oahu	2022080604	630.933808367
Oahu	2022080606	887.64825765
Oahu	2022080608	1033.7902794
Oahu	2022080610	1109.66866024
Oahu	2022080612	1132.52080473
Oahu	2022080614	1131.08700965
Oahu	2022080616	1107.61108681
Oahu	2022080618	1073.31089289
Oahu	2022080620	1042.22858829
Oahu	2022080622	798.04555076
Oahu	2022060600	619.650020113
Oahu	2022060602	556.697170989
Oahu	2022060604	625.691344806
Oahu	2022060606	878.93640278
Oahu	2022060608	1018.2819927
Oahu	2022060610	1093.44882
Oahu	2022060612	1115.85220212
Oahu	2022060614	1119.87984099
Oahu	2022060616	1099.01953873
Oahu	2022060618	1058.31696615
Oahu	2022060620	1018.65406867
Oahu	2022060622	798.7678591
Oahu	2022040600	510.620806051
Oahu	2022040602	454.048625593
Oahu	2022040604	503.364589859
Oahu	2022040606	675.76248301
Oahu	2022040608	855.788801921
Oahu	2022040610	924.016913402
Oahu	2022040612	933.637047796
Oahu	2022040614	938.168091416
Oahu	2022040616	939.623796894
Oahu	2022040618	959.772545605
Oahu	2022040620	890.98632017
Oahu	2022040622	713.904144213
Oahu	2022020600	533.954511695
Oahu	2022020602	484.288315058
Oahu	2022020604	559.214395178
