GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_05	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_06	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_06	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_06	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_06	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_06	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_06	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_06	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_07	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_07	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_07	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_07	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_07	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_07	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_07	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_08	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_08	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_08	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_08	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_08	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_08	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_08	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_09	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_09	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_09	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_09	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_09	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_09	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_09	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_10	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_10	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_10	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_10	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_10	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_10	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_10	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_11	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_11	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_11	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_11	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_11	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_11	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_11	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_12	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_12	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_12	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_12	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_12	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_12	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_12	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_13	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_13	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_13	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_13	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_13	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_13	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_13	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_14	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_14	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_14	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_14	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_14	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_14	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_14	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_15	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_15	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_15	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_15	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_15	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_15	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_15	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_16	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_16	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_16	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_16	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_16	2035	1737692.23325	22970.0
Oahu_CentralTrackingPV_PV_16	2040	1568594.59173	22970.0
Oahu_CentralTrackingPV_PV_16	2045	1415952.11519	22970.0
Oahu_CentralTrackingPV_PV_17	2020	2506345.17341	22970.0
Oahu_CentralTrackingPV_PV_17	2022	2344828.55812	22970.0
Oahu_CentralTrackingPV_PV_17	2025	2153676.33775	22970.0
Oahu_CentralTrackingPV_PV_17	2030	1925018.93951	22970.0
Oahu_CentralTrackingPV_PV_17	2035	1737692.23325	22970.0
