generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2020	1622023.11403	17452.3528084
CC_152	2022	1608297.41154	17452.3528084
CC_152	2025	1583249.60287	17452.3528084
CC_152	2030	1550966.32364	17452.3528084
CC_152	2035	1526913.33882	17452.3528084
CC_152	2040	1510660.10335	17452.3528084
CC_152	2045	1511097.20278	17452.3528084
CentralTrackingPV	2020	2506345.17341	22970.0
CentralTrackingPV	2022	2344828.55812	22970.0
CentralTrackingPV	2025	2153676.33775	22970.0
CentralTrackingPV	2030	1925018.93951	22970.0
CentralTrackingPV	2035	1737692.23325	22970.0
CentralTrackingPV	2040	1568594.59173	22970.0
CentralTrackingPV	2045	1415952.11519	22970.0
DistPV	2020	3128586.4886	0.0
DistPV	2022	2891341.38008	0.0
DistPV	2025	2612915.42852	0.0
DistPV	2030	2284773.5948	0.0
DistPV	2035	2062009.89386	0.0
DistPV	2040	1861279.23001	0.0
DistPV	2045	1680387.77698	0.0
IC_Barge	2020	1323131.36914	34214.2214559
IC_Barge	2022	1323476.02637	34214.2214559
IC_Barge	2025	1323491.06125	34214.2214559
IC_Barge	2030	1323501.64936	34214.2214559
IC_Barge	2035	1323134.89043	34214.2214559
IC_Barge	2040	1323619.78857	34214.2214559
IC_Barge	2045	1323327.72788	34214.2214559
IC_MCBH	2020	3090410.28442	33843.8169068
IC_MCBH	2022	3060257.53281	33843.8169068
IC_MCBH	2025	3003830.74198	33843.8169068
IC_MCBH	2030	2933671.1074	33843.8169068
IC_MCBH	2035	2885673.83212	33843.8169068
IC_MCBH	2040	2855786.26957	33843.8169068
IC_MCBH	2045	2855884.29922	33843.8169068
IC_Schofield	2020	2424654.52866	33843.8169068
IC_Schofield	2022	2400765.74505	33843.8169068
IC_Schofield	2025	2357415.22364	33843.8169068
IC_Schofield	2030	2301911.34423	33843.8169068
IC_Schofield	2035	2264363.31814	33843.8169068
IC_Schofield	2040	2241225.23529	33843.8169068
IC_Schofield	2045	2241311.8274	33843.8169068
OffshoreWind	2020	5615998.97241	96710.0
OffshoreWind	2022	5139554.91047	96710.0
OffshoreWind	2025	4758399.66092	96710.0
OffshoreWind	2030	4401066.61446	96710.0
OffshoreWind	2035	4222400.09124	96710.0
OffshoreWind	2040	4043733.56801	96710.0
OffshoreWind	2045	3882933.6971	96710.0
OnshoreWind	2020	2309475.44115	27400.0
OnshoreWind	2022	2323682.91236	27400.0
OnshoreWind	2025	2317920.03779	27400.0
OnshoreWind	2030	2233664.86748	27400.0
OnshoreWind	2035	2144407.82662	27400.0
OnshoreWind	2040	2066733.99942	27400.0
OnshoreWind	2045	1986498.14189	27400.0
