GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	2020020200	0.0
Oahu_CentralTrackingPV_PV_01	2020020202	0.0
Oahu_CentralTrackingPV_PV_01	2020020204	0.0
Oahu_CentralTrackingPV_PV_01	2020020206	0.0
Oahu_CentralTrackingPV_PV_01	2020020208	0.183441
Oahu_CentralTrackingPV_PV_01	2020020210	0.251062
Oahu_CentralTrackingPV_PV_01	2020020212	0.607322
Oahu_CentralTrackingPV_PV_01	2020020214	0.526752
Oahu_CentralTrackingPV_PV_01	2020020216	0.32991
Oahu_CentralTrackingPV_PV_01	2020020218	0.0
Oahu_CentralTrackingPV_PV_01	2020020220	0.0
Oahu_CentralTrackingPV_PV_01	2020020222	0.0
Oahu_CentralTrackingPV_PV_01	2020040200	0.0
Oahu_CentralTrackingPV_PV_01	2020040202	0.0
Oahu_CentralTrackingPV_PV_01	2020040204	0.0
Oahu_CentralTrackingPV_PV_01	2020040206	0.0
Oahu_CentralTrackingPV_PV_01	2020040208	0.89802
Oahu_CentralTrackingPV_PV_01	2020040210	0.967169
Oahu_CentralTrackingPV_PV_01	2020040212	0.986447
Oahu_CentralTrackingPV_PV_01	2020040214	1.0
Oahu_CentralTrackingPV_PV_01	2020040216	0.963225
Oahu_CentralTrackingPV_PV_01	2020040218	0.0367279
Oahu_CentralTrackingPV_PV_01	2020040220	0.0
Oahu_CentralTrackingPV_PV_01	2020040222	0.0
Oahu_CentralTrackingPV_PV_01	2020060200	0.0
Oahu_CentralTrackingPV_PV_01	2020060202	0.0
Oahu_CentralTrackingPV_PV_01	2020060204	0.0
Oahu_CentralTrackingPV_PV_01	2020060206	0.141622
Oahu_CentralTrackingPV_PV_01	2020060208	0.905311
Oahu_CentralTrackingPV_PV_01	2020060210	1.0
Oahu_CentralTrackingPV_PV_01	2020060212	0.860439
Oahu_CentralTrackingPV_PV_01	2020060214	0.387686
Oahu_CentralTrackingPV_PV_01	2020060216	0.144381
Oahu_CentralTrackingPV_PV_01	2020060218	0.156537
Oahu_CentralTrackingPV_PV_01	2020060220	0.0
Oahu_CentralTrackingPV_PV_01	2020060222	0.0
Oahu_CentralTrackingPV_PV_01	2020080200	0.0
Oahu_CentralTrackingPV_PV_01	2020080202	0.0
Oahu_CentralTrackingPV_PV_01	2020080204	0.0
Oahu_CentralTrackingPV_PV_01	2020080206	0.0566564
Oahu_CentralTrackingPV_PV_01	2020080208	0.906476
Oahu_CentralTrackingPV_PV_01	2020080210	0.799591
Oahu_CentralTrackingPV_PV_01	2020080212	0.450037
Oahu_CentralTrackingPV_PV_01	2020080214	0.518301
Oahu_CentralTrackingPV_PV_01	2020080216	0.395964
Oahu_CentralTrackingPV_PV_01	2020080218	0.0641464
Oahu_CentralTrackingPV_PV_01	2020080220	0.0
Oahu_CentralTrackingPV_PV_01	2020080222	0.0
Oahu_CentralTrackingPV_PV_01	2020100200	0.0
Oahu_CentralTrackingPV_PV_01	2020100202	0.0
Oahu_CentralTrackingPV_PV_01	2020100204	0.0
Oahu_CentralTrackingPV_PV_01	2020100206	0.0
Oahu_CentralTrackingPV_PV_01	2020100208	0.285035
Oahu_CentralTrackingPV_PV_01	2020100210	0.538908
Oahu_CentralTrackingPV_PV_01	2020100212	0.423085
Oahu_CentralTrackingPV_PV_01	2020100214	0.43952
Oahu_CentralTrackingPV_PV_01	2020100216	0.272402
Oahu_CentralTrackingPV_PV_01	2020100218	0.0
Oahu_CentralTrackingPV_PV_01	2020100220	0.0
Oahu_CentralTrackingPV_PV_01	2020100222	0.0
Oahu_CentralTrackingPV_PV_01	2020120200	0.0
Oahu_CentralTrackingPV_PV_01	2020120202	0.0
Oahu_CentralTrackingPV_PV_01	2020120204	0.0
Oahu_CentralTrackingPV_PV_01	2020120206	0.0
Oahu_CentralTrackingPV_PV_01	2020120208	0.142472
Oahu_CentralTrackingPV_PV_01	2020120210	0.116199
Oahu_CentralTrackingPV_PV_01	2020120212	0.550037
Oahu_CentralTrackingPV_PV_01	2020120214	0.316619
Oahu_CentralTrackingPV_PV_01	2020120216	0.426563
Oahu_CentralTrackingPV_PV_01	2020120218	0.0
Oahu_CentralTrackingPV_PV_01	2020120220	0.0
Oahu_CentralTrackingPV_PV_01	2020120222	0.0
Oahu_CentralTrackingPV_PV_01	2022020600	0.0
Oahu_CentralTrackingPV_PV_01	2022020602	0.0
Oahu_CentralTrackingPV_PV_01	2022020604	0.0
Oahu_CentralTrackingPV_PV_01	2022020606	0.0
Oahu_CentralTrackingPV_PV_01	2022020608	0.0412222
Oahu_CentralTrackingPV_PV_01	2022020610	0.271599
Oahu_CentralTrackingPV_PV_01	2022020612	0.683052
Oahu_CentralTrackingPV_PV_01	2022020614	0.328365
Oahu_CentralTrackingPV_PV_01	2022020616	0.350792
Oahu_CentralTrackingPV_PV_01	2022020618	0.0
Oahu_CentralTrackingPV_PV_01	2022020620	0.0
Oahu_CentralTrackingPV_PV_01	2022020622	0.0
Oahu_CentralTrackingPV_PV_01	2022040600	0.0
Oahu_CentralTrackingPV_PV_01	2022040602	0.0
Oahu_CentralTrackingPV_PV_01	2022040604	0.0
Oahu_CentralTrackingPV_PV_01	2022040606	0.000340703
Oahu_CentralTrackingPV_PV_01	2022040608	0.772308
Oahu_CentralTrackingPV_PV_01	2022040610	0.88833
Oahu_CentralTrackingPV_PV_01	2022040612	0.796896
Oahu_CentralTrackingPV_PV_01	2022040614	0.689106
Oahu_CentralTrackingPV_PV_01	2022040616	0.892048
Oahu_CentralTrackingPV_PV_01	2022040618	0.039448
Oahu_CentralTrackingPV_PV_01	2022040620	0.0
Oahu_CentralTrackingPV_PV_01	2022040622	0.0
Oahu_CentralTrackingPV_PV_01	2022060600	0.0
Oahu_CentralTrackingPV_PV_01	2022060602	0.0
Oahu_CentralTrackingPV_PV_01	2022060604	0.0
Oahu_CentralTrackingPV_PV_01	2022060606	0.153343
Oahu_CentralTrackingPV_PV_01	2022060608	0.621592
Oahu_CentralTrackingPV_PV_01	2022060610	1.0
Oahu_CentralTrackingPV_PV_01	2022060612	0.86568
Oahu_CentralTrackingPV_PV_01	2022060614	0.585088
Oahu_CentralTrackingPV_PV_01	2022060616	0.696881
Oahu_CentralTrackingPV_PV_01	2022060618	0.0603795
Oahu_CentralTrackingPV_PV_01	2022060620	0.0
Oahu_CentralTrackingPV_PV_01	2022060622	0.0
Oahu_CentralTrackingPV_PV_01	2022080600	0.0
Oahu_CentralTrackingPV_PV_01	2022080602	0.0
Oahu_CentralTrackingPV_PV_01	2022080604	0.0
Oahu_CentralTrackingPV_PV_01	2022080606	0.0518428
Oahu_CentralTrackingPV_PV_01	2022080608	0.827163
Oahu_CentralTrackingPV_PV_01	2022080610	0.474672
Oahu_CentralTrackingPV_PV_01	2022080612	0.5914
Oahu_CentralTrackingPV_PV_01	2022080614	0.200291
Oahu_CentralTrackingPV_PV_01	2022080616	0.500034
Oahu_CentralTrackingPV_PV_01	2022080618	0.109571
Oahu_CentralTrackingPV_PV_01	2022080620	0.0
Oahu_CentralTrackingPV_PV_01	2022080622	0.0
Oahu_CentralTrackingPV_PV_01	2022100600	0.0
Oahu_CentralTrackingPV_PV_01	2022100602	0.0
Oahu_CentralTrackingPV_PV_01	2022100604	0.0
Oahu_CentralTrackingPV_PV_01	2022100606	0.0
Oahu_CentralTrackingPV_PV_01	2022100608	0.681142
Oahu_CentralTrackingPV_PV_01	2022100610	0.671898
Oahu_CentralTrackingPV_PV_01	2022100612	0.81115
Oahu_CentralTrackingPV_PV_01	2022100614	0.723672
Oahu_CentralTrackingPV_PV_01	2022100616	0.393982
Oahu_CentralTrackingPV_PV_01	2022100618	0.0
Oahu_CentralTrackingPV_PV_01	2022100620	0.0
Oahu_CentralTrackingPV_PV_01	2022100622	0.0
Oahu_CentralTrackingPV_PV_01	2022120600	0.0
Oahu_CentralTrackingPV_PV_01	2022120602	0.0
Oahu_CentralTrackingPV_PV_01	2022120604	0.0
Oahu_CentralTrackingPV_PV_01	2022120606	0.0
Oahu_CentralTrackingPV_PV_01	2022120608	0.193521
Oahu_CentralTrackingPV_PV_01	2022120610	0.600932
Oahu_CentralTrackingPV_PV_01	2022120612	0.48595
Oahu_CentralTrackingPV_PV_01	2022120614	0.742782
Oahu_CentralTrackingPV_PV_01	2022120616	0.381091
Oahu_CentralTrackingPV_PV_01	2022120618	0.0
Oahu_CentralTrackingPV_PV_01	2022120620	0.0
Oahu_CentralTrackingPV_PV_01	2022120622	0.0
Oahu_CentralTrackingPV_PV_01	2025021000	0.0
Oahu_CentralTrackingPV_PV_01	2025021002	0.0
Oahu_CentralTrackingPV_PV_01	2025021004	0.0
Oahu_CentralTrackingPV_PV_01	2025021006	0.0
Oahu_CentralTrackingPV_PV_01	2025021008	0.58298
Oahu_CentralTrackingPV_PV_01	2025021010	0.922176
Oahu_CentralTrackingPV_PV_01	2025021012	0.54723
Oahu_CentralTrackingPV_PV_01	2025021014	0.57348
Oahu_CentralTrackingPV_PV_01	2025021016	0.266682
Oahu_CentralTrackingPV_PV_01	2025021018	0.0
Oahu_CentralTrackingPV_PV_01	2025021020	0.0
Oahu_CentralTrackingPV_PV_01	2025021022	0.0
Oahu_CentralTrackingPV_PV_01	2025041000	0.0
Oahu_CentralTrackingPV_PV_01	2025041002	0.0
Oahu_CentralTrackingPV_PV_01	2025041004	0.0
Oahu_CentralTrackingPV_PV_01	2025041006	0.00464234
Oahu_CentralTrackingPV_PV_01	2025041008	0.32132
Oahu_CentralTrackingPV_PV_01	2025041010	0.570419
Oahu_CentralTrackingPV_PV_01	2025041012	0.391776
Oahu_CentralTrackingPV_PV_01	2025041014	0.351813
Oahu_CentralTrackingPV_PV_01	2025041016	0.397387
Oahu_CentralTrackingPV_PV_01	2025041018	0.00395129
Oahu_CentralTrackingPV_PV_01	2025041020	0.0
Oahu_CentralTrackingPV_PV_01	2025041022	0.0
Oahu_CentralTrackingPV_PV_01	2025061000	0.0
Oahu_CentralTrackingPV_PV_01	2025061002	0.0
Oahu_CentralTrackingPV_PV_01	2025061004	0.0
Oahu_CentralTrackingPV_PV_01	2025061006	0.108645
Oahu_CentralTrackingPV_PV_01	2025061008	0.91375
Oahu_CentralTrackingPV_PV_01	2025061010	0.985817
Oahu_CentralTrackingPV_PV_01	2025061012	0.92236
Oahu_CentralTrackingPV_PV_01	2025061014	0.733837
Oahu_CentralTrackingPV_PV_01	2025061016	0.485213
Oahu_CentralTrackingPV_PV_01	2025061018	0.18218
Oahu_CentralTrackingPV_PV_01	2025061020	0.0
Oahu_CentralTrackingPV_PV_01	2025061022	0.0
Oahu_CentralTrackingPV_PV_01	2025081000	0.0
Oahu_CentralTrackingPV_PV_01	2025081002	0.0
Oahu_CentralTrackingPV_PV_01	2025081004	0.0
Oahu_CentralTrackingPV_PV_01	2025081006	0.0449023
Oahu_CentralTrackingPV_PV_01	2025081008	0.904185
Oahu_CentralTrackingPV_PV_01	2025081010	0.924242
Oahu_CentralTrackingPV_PV_01	2025081012	0.964009
