LOAD_ZONE	PERIOD	ev_share	ice_miles_per_gallon	ev_miles_per_kwh	ev_extra_cost_per_vehicle_year	n_all_vehicles	vmt_per_vehicle
Oahu	2021	0.065804264769	29.7738095238	4.0	800.0	816908.0	8706.0
Oahu	2029	0.24071987454	36.5158730159	4.0	600.0	816908.0	8706.0
Oahu	2037	0.475815452945	43.2579365079	4.0	400.0	816908.0	8706.0
Oahu	2045	0.650731062716	50.0	4.0	200.0	816908.0	8706.0
